osm_id,code,fclass,name,Latitude,Longitude
5300686639,5601,railway_station,Chidambaram,11° 23' 31.45"" N,079° 42' 10.89"" E
5300686641,5601,railway_station,Kollidam,11° 19' 42.97"" N,079° 43' 9.26"" E
5300686653,5601,railway_station,Sirkazhi,11° 14' 34.94"" N,079° 43' 42.23"" E
5300704874,5601,railway_station,Vithisvarankol,11° 11' 44.92"" N,079° 42' 13.87"" E
5300704883,5601,railway_station,Anandtandavpur,11° 08' 40.83"" N,079° 39' 31.78"" E
5300704885,5601,railway_station,Nidur,11° 07' 39.45"" N,079° 38' 43.53"" E
5300704886,5601,railway_station,Mayiladuthurai Junction,11° 05' 43.8"" N,079° 37' 43.79"" E
5300783981,5601,railway_station,Kutralam,11° 04' 11.71"" N,079° 33' 25.9"" E
5300783990,5601,railway_station,Aduturai,11° 00' 32.76"" N,079° 28' 42.36"" E
5300783994,5601,railway_station,Kumbakonam,10° 57' 15.03"" N,079° 23' 24.25"" E
5300821193,5601,railway_station,Sundaraperumal Kovil,10° 56' 23.28"" N,079° 18' 40.05"" E
5300821196,5601,railway_station,Papanasam,10° 55' 23.78"" N,079° 16' 8.15"" E
5300821200,5601,railway_station,Pandaravadai,10° 54' 48.83"" N,079° 14' 31.21"" E
5300821201,5601,railway_station,Ayyampet,10° 53' 48.51"" N,079° 12' 26.8"" E
5300821212,5601,railway_station,Titte,10° 50' 15.19"" N,079° 10' 54.33"" E
5300821213,5601,railway_station,Thanjavur Junction,10° 46' 41.51"" N,079° 08' 22.82"" E
5300868130,5601,railway_station,Alakkudi,10° 46' 38.16"" N,079° 03' 10.34"" E
5300868131,5601,railway_station,Budalur,10° 46' 58.34"" N,078° 58' 51.63"" E
5300868159,5601,railway_station,Aiyanapuram,10° 47' 16.32"" N,078° 56' 19.68"" E
5300868160,5601,railway_station,Solagampatti,10° 47' 7.33"" N,078° 52' 38.36"" E
5300868161,5601,railway_station,Tondamanpatti,10° 47' 10.02"" N,078° 49' 21.31"" E
5300868165,5601,railway_station,Tiruverumbur,10° 47' 15.12"" N,078° 46' 35.64"" E
5300868166,5601,railway_station,Manjattidal,10° 47' 33.55"" N,078° 43' 54.1"" E
5300868168,5601,railway_station,Ponmalai (Golden Rock),10° 47' 29.65"" N,078° 42' 37.56"" E
